Entity,Code,Year,Population (historical estimates)
Afghanistan,AFG,-10000,14737
Afghanistan,AFG,-9000,20405
Afghanistan,AFG,-8000,28253
Afghanistan,AFG,-7000,39120
Afghanistan,AFG,-6000,54166
Afghanistan,AFG,-5000,74999
Afghanistan,AFG,-4000,306250
Afghanistan,AFG,-3000,537500
Afghanistan,AFG,-2000,768751
Afghanistan,AFG,-1000,999998
Afghanistan,AFG,0,1999997
Afghanistan,AFG,100,2250002
Afghanistan,AFG,200,2500001
Afghanistan,AFG,300,2500001
Afghanistan,AFG,400,2500001
Afghanistan,AFG,500,2500001
Afghanistan,AFG,600,2500001
Afghanistan,AFG,700,2425001
Afghanistan,AFG,800,2350008
Afghanistan,AFG,900,2299999
Afghanistan,AFG,1000,2250002
Afghanistan,AFG,1100,2375009
Afghanistan,AFG,1200,2500001
Afghanistan,AFG,1300,1749998
Afghanistan,AFG,1400,1874998
Afghanistan,AFG,1500,1999997
Afghanistan,AFG,1600,2500001
Afghanistan,AFG,1700,2500001
Afghanistan,AFG,1710,2561614
Afghanistan,AFG,1720,2619846
Afghanistan,AFG,1730,2679387
Afghanistan,AFG,1740,2740283
Afghanistan,AFG,1750,2802568
Afghanistan,AFG,1760,2866257
Afghanistan,AFG,1770,2931400
Afghanistan,AFG,1780,2998015
Afghanistan,AFG,1790,3066156
Afghanistan,AFG,1800,3280000
Afghanistan,AFG,1801,3280000
Afghanistan,AFG,1802,3280000
Afghanistan,AFG,1803,3280000
Afghanistan,AFG,1804,3280000
Afghanistan,AFG,1805,3280000
Afghanistan,AFG,1806,3280000
Afghanistan,AFG,1807,3280000
Afghanistan,AFG,1808,3280000
Afghanistan,AFG,1809,3280000
Afghanistan,AFG,1810,3280000
Afghanistan,AFG,1811,3280000
Afghanistan,AFG,1812,3280000
Afghanistan,AFG,1813,3280000
Afghanistan,AFG,1814,3280000
Afghanistan,AFG,1815,3280000
Afghanistan,AFG,1816,3280000
Afghanistan,AFG,1817,3280000
Afghanistan,AFG,1818,3280000
Afghanistan,AFG,1819,3282935
Afghanistan,AFG,1820,3288817
Afghanistan,AFG,1821,3297661
Afghanistan,AFG,1822,3309479
Afghanistan,AFG,1823,3324285
Afghanistan,AFG,1824,3339157
Afghanistan,AFG,1825,3354095
Afghanistan,AFG,1826,3369101
Afghanistan,AFG,1827,3384173
Afghanistan,AFG,1828,3399313
Afghanistan,AFG,1829,3414520
Afghanistan,AFG,1830,3429796
Afghanistan,AFG,1831,3445140
Afghanistan,AFG,1832,3460553
Afghanistan,AFG,1833,3476034
Afghanistan,AFG,1834,3491585
Afghanistan,AFG,1835,3507205
Afghanistan,AFG,1836,3522896
Afghanistan,AFG,1837,3538656
Afghanistan,AFG,1838,3554487
Afghanistan,AFG,1839,3570389
Afghanistan,AFG,1840,3586362
Afghanistan,AFG,1841,3602406
Afghanistan,AFG,1842,3618522
Afghanistan,AFG,1843,3634711
Afghanistan,AFG,1844,3650971
Afghanistan,AFG,1845,3667305
Afghanistan,AFG,1846,3683711
Afghanistan,AFG,1847,3700191
Afghanistan,AFG,1848,3716745
Afghanistan,AFG,1849,3734342
Afghanistan,AFG,1850,3752993
Afghanistan,AFG,1851,3767956
Afghanistan,AFG,1852,3783940
Afghanistan,AFG,1853,3800954
Afghanistan,AFG,1854,3818038
Afghanistan,AFG,1855,3835192
Afghanistan,AFG,1856,3852417
Afghanistan,AFG,1857,3869714
Afghanistan,AFG,1858,3887081
Afghanistan,AFG,1859,3904521
Afghanistan,AFG,1860,3922032
Afghanistan,AFG,1861,3939616
Afghanistan,AFG,1862,3957271
Afghanistan,AFG,1863,3975000
Afghanistan,AFG,1864,3992801
Afghanistan,AFG,1865,4010675
Afghanistan,AFG,1866,4028623
Afghanistan,AFG,1867,4046645
Afghanistan,AFG,1868,4064740
Afghanistan,AFG,1869,4082915
Afghanistan,AFG,1870,4101170
Afghanistan,AFG,1871,4119504
Afghanistan,AFG,1872,4137920
Afghanistan,AFG,1873,4156416
Afghanistan,AFG,1874,4174988
Afghanistan,AFG,1875,4193635
Afghanistan,AFG,1876,4212359
Afghanistan,AFG,1877,4231159
Afghanistan,AFG,1878,4250036
Afghanistan,AFG,1879,4268990
Afghanistan,AFG,1880,4288021
Afghanistan,AFG,1881,4307129
Afghanistan,AFG,1882,4326316
Afghanistan,AFG,1883,4345580
Afghanistan,AFG,1884,4364922
Afghanistan,AFG,1885,4384343
Afghanistan,AFG,1886,4403843
Afghanistan,AFG,1887,4423422
Afghanistan,AFG,1888,4443080
Afghanistan,AFG,1889,4462817
Afghanistan,AFG,1890,4482635
Afghanistan,AFG,1891,4502532
Afghanistan,AFG,1892,4522510
Afghanistan,AFG,1893,4542568
Afghanistan,AFG,1894,4562708
Afghanistan,AFG,1895,4582928
Afghanistan,AFG,1896,4603230
Afghanistan,AFG,1897,4623613
Afghanistan,AFG,1898,4644079
Afghanistan,AFG,1899,4672084
Afghanistan,AFG,1900,4707744
Afghanistan,AFG,1901,4751177
Afghanistan,AFG,1902,4802500
Afghanistan,AFG,1903,4861833
Afghanistan,AFG,1904,4921891
Afghanistan,AFG,1905,4982681
Afghanistan,AFG,1906,5044212
Afghanistan,AFG,1907,5106495
Afghanistan,AFG,1908,5169536
Afghanistan,AFG,1909,5300178
Afghanistan,AFG,1910,5504191
Afghanistan,AFG,1911,5787792
Afghanistan,AFG,1912,6157669
Afghanistan,AFG,1913,6621025
Afghanistan,AFG,1914,7119235
Afghanistan,AFG,1915,7654918
Afghanistan,AFG,1916,8230894
Afghanistan,AFG,1917,8850190
Afghanistan,AFG,1918,9529174
Afghanistan,AFG,1919,9976355
Afghanistan,AFG,1920,10188845
Afghanistan,AFG,1921,10162753
Afghanistan,AFG,1922,9893152
Afghanistan,AFG,1923,9374030
Afghanistan,AFG,1924,8882148
Afghanistan,AFG,1925,8416077
Afghanistan,AFG,1926,7974462
Afghanistan,AFG,1927,7556019
Afghanistan,AFG,1928,7159534
Afghanistan,AFG,1929,6851115
Afghanistan,AFG,1930,6626142
Afghanistan,AFG,1931,6480237
Afghanistan,AFG,1932,6409250
Afghanistan,AFG,1933,6409250
Afghanistan,AFG,1934,6409250
Afghanistan,AFG,1935,6409250
Afghanistan,AFG,1936,6409250
Afghanistan,AFG,1937,6409250
Afghanistan,AFG,1938,6409250
Afghanistan,AFG,1939,6428903
Afghanistan,AFG,1940,6468510
Afghanistan,AFG,1941,6528377
Afghanistan,AFG,1942,6608815
Afghanistan,AFG,1943,6710138
Afghanistan,AFG,1944,6813016
Afghanistan,AFG,1945,6917471
Afghanistan,AFG,1946,7023527
Afghanistan,AFG,1947,7131209
Afghanistan,AFG,1948,7240542
Afghanistan,AFG,1949,7356890
Afghanistan,AFG,1950,7480464
Afghanistan,AFG,1951,7571542
Afghanistan,AFG,1952,7667534
Afghanistan,AFG,1953,7764549
Afghanistan,AFG,1954,7864289
Afghanistan,AFG,1955,7971933
Afghanistan,AFG,1956,8087730
Afghanistan,AFG,1957,8210207
Afghanistan,AFG,1958,8333827
Afghanistan,AFG,1959,8468220
Afghanistan,AFG,1960,8622473
Afghanistan,AFG,1961,8790140
Afghanistan,AFG,1962,8969055
Afghanistan,AFG,1963,9157463
Afghanistan,AFG,1964,9355510
Afghanistan,AFG,1965,9565154
Afghanistan,AFG,1966,9783153
Afghanistan,AFG,1967,10010037
Afghanistan,AFG,1968,10247782
Afghanistan,AFG,1969,10494491
Afghanistan,AFG,1970,10752973
Afghanistan,AFG,1971,11015853
Afghanistan,AFG,1972,11286753
Afghanistan,AFG,1973,11575308
Afghanistan,AFG,1974,11869881
Afghanistan,AFG,1975,12157390
Afghanistan,AFG,1976,12425276
Afghanistan,AFG,1977,12687308
Afghanistan,AFG,1978,12938864
Afghanistan,AFG,1979,12986378
Afghanistan,AFG,1980,12486640
Afghanistan,AFG,1981,11155196
Afghanistan,AFG,1982,10088290
Afghanistan,AFG,1983,9951447
Afghanistan,AFG,1984,10243689
Afghanistan,AFG,1985,10512220
Afghanistan,AFG,1986,10448447
Afghanistan,AFG,1987,10322767
Afghanistan,AFG,1988,10383459
Afghanistan,AFG,1989,10673172
Afghanistan,AFG,1990,10694804
Afghanistan,AFG,1991,10745168
Afghanistan,AFG,1992,12057436
Afghanistan,AFG,1993,14003764
Afghanistan,AFG,1994,15455560
Afghanistan,AFG,1995,16418911
Afghanistan,AFG,1996,17106600
Afghanistan,AFG,1997,17788818
Afghanistan,AFG,1998,18493134
Afghanistan,AFG,1999,19262854
Afghanistan,AFG,2000,19542986
Afghanistan,AFG,2001,19688634
Afghanistan,AFG,2002,21000258
Afghanistan,AFG,2003,22645136
Afghanistan,AFG,2004,23553554
Afghanistan,AFG,2005,24411196
Afghanistan,AFG,2006,25442946
Afghanistan,AFG,2007,25903306
Afghanistan,AFG,2008,26427204
Afghanistan,AFG,2009,27385310
Afghanistan,AFG,2010,28189672
Afghanistan,AFG,2011,29249156
Afghanistan,AFG,2012,30466484
Afghanistan,AFG,2013,31541216
Afghanistan,AFG,2014,32716214
Afghanistan,AFG,2015,33753500
Afghanistan,AFG,2016,34636212
Afghanistan,AFG,2017,35643420
Afghanistan,AFG,2018,36686788
Afghanistan,AFG,2019,37769496
Afghanistan,AFG,2020,38972236
Afghanistan,AFG,2021,40099460
Africa,,-10000,227636
Africa,,-9000,323059
Africa,,-8000,462991
Africa,,-7000,670044
Africa,,-6000,979129
Africa,,-5000,1444530
Africa,,-4000,2251144
Africa,,-3000,4007555
Africa,,-2000,6064655
Africa,,-1000,8992394
Africa,,0,14807683
Africa,,100,16184505
Africa,,200,17752997
Africa,,300,18711186
Africa,,400,19971117
Africa,,500,21483436
Africa,,600,23483741
Africa,,700,27061442
Africa,,800,31602869
Africa,,900,35593708
Africa,,1000,39673676
Africa,,1100,42223461
Africa,,1200,45290423
Africa,,1300,50658354
Africa,,1400,54510518
Africa,,1500,58251581
Africa,,1600,69026321
Africa,,1700,75706228
Africa,,1710,74126812
Africa,,1720,74594175
Africa,,1730,75107083
Africa,,1740,75667301
Africa,,1750,76278087
Africa,,1760,76943010
Africa,,1770,77667559
Africa,,1780,78459476
Africa,,1790,79313390
Africa,,1800,81273172
Africa,,1801,81313551
Africa,,1802,81418900
Africa,,1803,81525621
Africa,,1804,81633731
Africa,,1805,81743247
Africa,,1806,81854174
Africa,,1807,81966528
Africa,,1808,82080332
Africa,,1809,82195596
Africa,,1810,82385589
Africa,,1811,82440934
Africa,,1812,82579573
Africa,,1813,82729616
Africa,,1814,82891459
Africa,,1815,83065241
Africa,,1816,83251124
Africa,,1817,83449261
Africa,,1818,83659804
Africa,,1819,83954434
Africa,,1820,84418699
Africa,,1821,84811641
Africa,,1822,85376766
Africa,,1823,86056105
Africa,,1824,86755919
Africa,,1825,87476538
Africa,,1826,88218276
Africa,,1827,88981474
Africa,,1828,89766472
Africa,,1829,90573904
Africa,,1830,91494029
Africa,,1831,92257560
Africa,,1832,93125349
Africa,,1833,94007792
Africa,,1834,94904834
Africa,,1835,95816766
Africa,,1836,96743850
Africa,,1837,97686357
Africa,,1838,98644581
Africa,,1839,99638115
Africa,,1840,100772650
Africa,,1841,101734515
Africa,,1842,102839146
Africa,,1843,103982621
Africa,,1844,105146559
Africa,,1845,106331394
Africa,,1846,107537534
Africa,,1847,108765412
Africa,,1848,110015469
